measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Global,Both,All ages,Prostate cancer,Number,1997,5012466.633640941,5816650.539669919,3967061.6765880366
Prevalence,Global,Both,All ages,Colon and rectum cancer,Number,1997,5073004.860422311,5184994.7352127135,4932670.740450596
Prevalence,Global,Both,All ages,Lip and oral cavity cancer,Number,1997,760264.3397465057,782295.0434782456,735256.0205099252
Prevalence,Global,Both,All ages,Nasopharynx cancer,Number,1997,321594.32726191345,340294.9716851274,302865.12980877777
Prevalence,Global,Both,All ages,Other pharynx cancer,Number,1997,106242.25562165129,109145.71781541442,103367.54107335473
Prevalence,Global,Both,All ages,Gallbladder and biliary tract cancer,Number,1997,150413.78982542965,166163.36710502242,135845.07616235517
Prevalence,Global,Both,All ages,Pancreatic cancer,Number,1997,199142.97194890684,203823.80449884624,191979.85634965845
Prevalence,Global,Both,All ages,Esophageal cancer,Number,1996,575784.4053597719,616163.8732398853,443313.6353781507
Prevalence,Global,Both,All ages,Stomach cancer,Number,1996,1575827.5146934332,1639684.2946833281,1517094.3767056463
Prevalence,Global,Both,All ages,Liver cancer,Number,1996,565928.0803563099,598083.0968975057,537746.206629934
Prevalence,Global,Both,All ages,Larynx cancer,Number,1996,760900.7130340468,790666.3310888549,732778.0554172441
Prevalence,Global,Both,All ages,Non-melanoma skin cancer,Number,1996,1452417.2461874573,1735869.0355550414,1206973.1736562757
Prevalence,Global,Both,All ages,Ovarian cancer,Number,1996,670049.8307871034,742501.9575272445,624171.6688517787
Prevalence,Global,Both,All ages,Testicular cancer,Number,1996,421912.5973453652,509047.2931508662,332685.0740653364
Prevalence,Global,Both,All ages,Kidney cancer,Number,1996,853983.2446161868,876256.76316959,833118.2989809193
Prevalence,Global,Both,All ages,Bladder cancer,Number,1996,1369688.2038276698,1402151.0073318393,1334287.099205019
Prevalence,Global,Both,All ages,Brain and central nervous system cancer,Number,1996,510605.71065853833,610281.169657856,429700.41776111396
Prevalence,Global,Both,All ages,Thyroid cancer,Number,1996,826236.0740212225,863232.4922442668,765111.8889338931
Prevalence,Global,Both,All ages,Non-melanoma skin cancer,Number,1999,956392.6936736339,1101510.5107470234,832983.9138021052
